Filesystem          kbytes    used   avail %used Mounted on
/dev/vg00/lvol3     753664  492056  260256   65% /
/dev/vg00/lvol1     576595  235225  283710   45% /stand
/dev/vg01/lvol2    786432000 2463090 735033074    0% /work
/dev/vg00/lvol7    5996544 4287408 1699456   72% /var
/dev/vg01/lvol4    256049152  119056 239972140    0% /utilloc
/dev/vg00/lvol6    6422528 3151000 3245976   49% /usr
/dev/vg00/lvol5    1048576  303368  741336   29% /tmp
/dev/vg01/lvol3    419430400 177842940 226504402   44% /temp
/dev/vg00/lvol9    41943040 9260688 30639749   23% /sas
/dev/vg00/lvol10   41943040  640339 38727259    2% /sas/install
/dev/vg00/lvol4    7766016 6093848 1659112   79% /opt
/dev/vg01/lvol7    41943040   96793 39289032    0% /logs
/dev/vg00/lvol8     229376  139016   89680   61% /home
/dev/vg01/lvol9    425984000 19245570 381544422    5% /ftproot2
/dev/vg04/lvol1    2147450880 1068748846 1011402868   51% /ftproot
/dev/vg01/lvol5    1026031616 16851012 946189245    2% /data2
/dev/vg03/lvol1    2147450880 1003728613 1072239668   48% /data1
/dev/vg01/lvol1    2097152000 1321397005 727296105   64% /data
/dev/vg01/lvol8    41943040 17879906 22559251   44% /config
/dev/vg05/lvol1    2147450880 973601149 1100587861   47% /archive
/dev/vg02/lvol1    31457280 8145807 21854646   27% /app/sas/software
/dev/vg02/lvol2    20971520 7245370 12877282   36% /app/sas/config
/dev/vg02/lvol3    52412416  426398 48751268    1% /app/depot
CATEBI1:/data/trigger_file
                   1048576000 117307864 873071440   12% /data/trigger_file
