Filesystem          kbytes    used   avail %used Mounted on
/dev/vg00/lvol3     753664  492056  260256   65% /
/dev/vg00/lvol1     576595  235225  283710   45% /stand
/dev/vg01/lvol2    786432000 9222713 728695912    1% /work
/dev/vg00/lvol7    5996544 4323800 1663344   72% /var
/dev/vg01/lvol4    256049152  119056 239972140    0% /utilloc
/dev/vg00/lvol6    6422528 3151000 3245976   49% /usr
/dev/vg00/lvol5    1048576  306680  738048   29% /tmp
/dev/vg01/lvol3    419430400 177842940 226504402   44% /temp
/dev/vg00/lvol9    41943040 9260688 30639749   23% /sas
/dev/vg00/lvol10   41943040  640339 38727259    2% /sas/install
/dev/vg00/lvol4    7766016 6093848 1659112   79% /opt
/dev/vg01/lvol7    41943040   96793 39289032    0% /logs
/dev/vg00/lvol8     229376  139088   89608   61% /home
/dev/vg01/lvol9    425984000 19245570 381544422    5% /ftproot2
/dev/vg04/lvol1    2147450880 1156435675 929194331   55% /ftproot
/dev/vg01/lvol5    1026031616 16851012 946189245    2% /data2
/dev/vg03/lvol1    2147450880 1071022509 1009151641   51% /data1
/dev/vg01/lvol1    2097152000 1375718814 676369409   67% /data
/dev/vg01/lvol8    41943040 17879906 22559251   44% /config
/dev/vg05/lvol1    2147450880 1009139037 1067271050   49% /archive
/dev/vg02/lvol1    31457280 8153655 21847280   27% /app/sas/software
/dev/vg02/lvol2    20971520 7371823 12758288   37% /app/sas/config
/dev/vg02/lvol3    52412416  426398 48751268    1% /app/depot
CATEBI1:/data/trigger_file
                   1048576000 118131456 872299312   12% /data/trigger_file
