Filesystem          kbytes    used   avail %used Mounted on
/dev/vg00/lvol3     753664  491608  260696   65% /
/dev/vg00/lvol1     576595  235229  283706   45% /stand
/dev/vg01/lvol2    786432000 66263788 675219966    9% /work
/dev/vg00/lvol7    5996544 4059824 1925384   68% /var
/dev/vg01/lvol4    256049152  119062 239972126    0% /utilloc
/dev/vg00/lvol6    6422528 3151000 3245976   49% /usr
/dev/vg00/lvol5    1048576  316896  727904   30% /tmp
/dev/vg01/lvol3    419430400 177842940 226504402   44% /temp
/dev/vg00/lvol9    41943040 9260688 30639749   23% /sas
/dev/vg00/lvol10   41943040  640339 38727259    2% /sas/install
/dev/vg00/lvol4    7766016 6093936 1659024   79% /opt
/dev/vg01/lvol7    41943040   96793 39289032    0% /logs
/dev/vg00/lvol8     229376  139648   89032   61% /home
/dev/vg01/lvol9    425984000 18618990 382131845    5% /ftproot2
/dev/vg04/lvol1    2147450880 1412340256 689274097   67% /ftproot
/dev/vg01/lvol5    1026031616 16851012 946189245    2% /data2
/dev/vg03/lvol1    2147450880 1181437766 905637335   57% /data1
/dev/vg01/lvol1    2097152000 1474069061 584166048   72% /data
/dev/vg01/lvol8    41943040 17879906 22559251   44% /config
/dev/vg05/lvol1    2147450880 1154288402 931193279   55% /archive
/dev/vg02/lvol1    31457280 8206630 21797580   27% /app/sas/software
/dev/vg02/lvol2    20971520 6915681 13187622   34% /app/sas/config
/dev/vg02/lvol3    52412416  426398 48751268    1% /app/depot
CATEBI1:/data/trigger_file
                   1048576000 109392232 880492424   11% /data/trigger_file
